contexts;summary;question;ground_truths
An important advantage of A/B testing is its ability to establish causal relationships with a high degree of probability, which can transform decision making from an intuitive process to a scientific, evidence-based process. To ensure the trustworthiness of the results of A/B tests, the scheme of scientific experiments is followed, consisting of a planning phase, an execution phase, and an evaluation phase.;A/B testing has the advantage of establishing causal relationships with high probability, transforming decision making into a scientific, evidence-based process.;What is the advantage of A/B testing?;The advantage of A/B testing is its ability to establish causal relationships with a high degree of probability, which can transform decision making from an intuitive process to a scientific, evidence-based process.
The ANOVA can be a powerful tool to tame the variance in field experiments or more complex laboratory experiments, as it allows to account for variance in repeated experimental measures of experiments that are built around replicates. The ANOVA is thus the most robust method when it comes to the design of deductive experiments, yet with the availability of more and more data, also inductive data has increasingly been analysed by use of the ANOVA. This was certainly quite alien to the original idea of Fisher, who believed in clear robust designs and rigid testing of hypotheses.;ANOVA is a powerful tool for reducing variance in field experiments or complex laboratory experiments by accounting for variance in repeated measures. It is the most robust method for deductive experiments, but has also been used for inductive data analysis, which goes against Fisher's original idea of clear robust designs and rigid hypothesis testing.;What is the ANOVA a powerful for?;Reducing variance in field experiments or complex laboratory experiments
"Centuries ago, Thomas Bayes proposed a dramatically different approach. Here, an imperfect or a small sample would serve as a basis for statistical inference. Very crudely defined, the two approaches start at exact opposite ends. While frequency statistics demand preconditions such as sample size and a normal distribution for specific statistical tests, Bayesian statistics build on the existing sample size; all calculations base on what is already there. Experts may excuse my dramatic simplification, but one could say that frequentist statistics are top-down thinking, while Bayesian statistics work bottom-up. The history of modern science is widely built on frequentist statistics, which includes such approaches as methodological design, sampling density and replicates, and diverse statistical tests. It is nothing short of a miracle that Bayes proposed the theoretical foundation for the theory named after him more than 250 years ago. Only with the rise of modern computers was this theory explored deeply, and builds the foundation of branches in data science and machine learning. The two approaches are also often coined as objectivists for frequentist probability fellows, and subjectivists for followers of Bayes theorem.";Thomas Bayes introduced a different approach to probability that relied on small or imperfect samples for statistical inference. Frequentist and Bayesian statistics represent opposite ends of the spectrum, with frequentist methods requiring specific conditions like sample size and a normal distribution, while Bayesian methods work with existing data. Frequentist statistics have been foundational in modern science, including methodological design and statistical tests, while Bayesian statistics gained prominence with the advent of modern computers, forming the basis of data science and machine learning.;What is the difference between frequentist and Bayesian approaches to probability, and how have they influenced modern science?;Thomas Bayes introduced a different approach to probability that relied on small or imperfect samples for statistical inference. Frequentist and Bayesian statistics represent opposite ends of the spectrum, with frequentist methods requiring specific conditions like sample size and a normal distribution, while Bayesian methods work with existing data.
What is relevant to consider is that actions of agents need to be wilful, i.e. a mere act that can be seen as serendipity is not part of agency. Equally, non-anticipated consequences of actions based on causal chains are a problem in agency. Agency is troubled when it comes to either acknowledging serendipity, or Murphy's law. Such lucky or unlucky actions were not anticipated by the agents, and are therefore not really included in the definition of agency. There is thus a metaphysical problem when we try to differentiate the agent, their actions, and the consequences of their actions. One could claim that this can be solved by focussing on the consequences of the actions of agents alone. However, this consequentialist view is partly a theoretical consideration, as this view can create many interesting experiments, but does not really help us to solve the problem of unintentional acts per se. Still, consequentialism and a focus on mere actions is also relevant because it allows to step away from a single agent and focus instead on the interactions within the agency of several actors, which is a good start for the next concept.;Actions of agents must be wilful, and serendipitous acts are not part of agency. Non-anticipated consequences based on causal chains pose a problem in agency. Acknowledging serendipity and Murphy's law is challenging. The metaphysical problem arises when differentiating agents, their actions, and consequences. Focusing solely on consequences is a theoretical consideration that doesn't fully address unintentional acts. Consequentialism and a focus on actions allow the study of interactions within agencies of multiple actors.;Why is acknowledging serendipity and Murphy's law challenging in the contexts of agency?;Acknowledging serendipity and Murphy's law is challenging in the contexts of agency because lucky or unlucky actions that were not anticipated by the agents are not included in the definition of agency.
"=== Only categorical data: Chi Square Test ===
'''You should do a Chi Square Test'''.<br/>
A Chi Square test can be used to test if one variable influenced the other one, or if they occur independently from each other. The key R command here is: <code>chisq.test()</code>. Check the entry on [[Simple_Statistical_Tests#Chi-square_Test_of_Stochastic_Independence|Chi Square Tests]] to learn more.";For datasets consisting of only categorical data, users are recommended to perform a Chi Square Test. This test assesses whether there is a significant relationship between two categorical variables in the dataset.;What is the recommended course of action for datasets with only categorical data?;For datasets containing only categorical data, users are advised to conduct a Chi Square Test. This test is used to determine whether there is a statistically significant relationship between two categorical variables in the dataset.
"==== Generalised Linear Models ====
'''You have arrived at a Generalised Linear Model (GLM).''' GLMs are a family of models that are a generalization of ordinary linear regressions. The key R command is <code>glm()</code>.
Depending on the existence of random variables, there is a distinction between Mixed Effect Models, and Generalised Linear Models based on regressions.
'''How do I know?'''
* Random variables introduce extra variability to the model. For example, we want to explain the grades of students with the amount of time they spent studying. The only randomness we should get here is the sampling error. But these students study in different universities, and they themselves have different abilities to learn. These elements infer the randomness we would not like to know, and can be good examples of a random variable. If your data shows effects that you cannot influence but which you want to 'rule out', the answer to this question is 'yes'.";When you reach a Generalised Linear Model (GLM), you are working with a versatile family of models that extend ordinary linear regressions. GLMs are used to model relationships between variables, and the key R command is <code>glm()</code>. The choice between Mixed Effect Models and GLMs based on regressions depends on the presence of random variables and the desire to account for uncontrolled effects.;What is a Generalised Linear Model (GLM)?;A Generalised Linear Model (GLM) is a versatile family of models that extends ordinary linear regressions and is used to model relationships between variables.
"== Cluster Analysis ==
'''So you decided for a Cluster Analysis - or Classification in general.''' In this approach, you group your data points according to how similar they are, resulting in a tree structure. Check the entry on [[Clustering Methods]] to learn more.

There is a difference to be made here, dependent on whether you want to classify the data based on prior knowledge (supervised, Classification) or not (unsupervised, Clustering).";Cluster Analysis involves grouping data points based on similarity to create a tree structure. It can be supervised (Classification) or unsupervised (Clustering), depending on the presence of prior knowledge.;What is Cluster Analysis?;Cluster Analysis is a approach of grouping data points based on similarity to create a structure. It can be supervised (Classification) or unsupervised (Clustering).
'''You have decided to do a Network Analysis.''' In a Network Analysis, you arrange your data in a network structure to understand their connections and the distance between individual data points. Check the entry on [[Social Network Analysis]] and the R example entry MISSING to learn more. Keep in mind that network analysis is complex, and there is a wide range of possible approaches that you need to choose between.;Network Analysis involves arranging data in a network structure to analyze connections and distances between data points. It is a complex field with various approaches.;What is the purpose of Network Analysis?;Network Analysis is conducted to understand connections and distances between data points by arranging data in a network structure.
"Analysis of covariance (ANCOVA) is a statistical test that compares the means of more than two groups by taking under the control the ""noise"" caused by covariate variable that is not of experimental interest. This is done in order to see the true effect of the variable of interest on a dependent variable.";ANCOVA is a statistical test that compares means of multiple groups while controlling for the influence of a covariate.;What is the purpose of ANCOVA in statistical analysis?;ANCOVA is used to compare group means while controlling for the effect of a covariate.
"Analysis of covariance (ANCOVA) is the statistical test that compares the means of more than two groups by taking under the control the ""noise"" caused by covariate variable that is not of experimental interest. This is done in order to see the true effect of the variable of interest on a dependent variable. Fundamental idea of ANCOVA is based on hypothesis testing, its goal is to evaluate multiple mutually exclusive theories about our [[Glossary|data]], where null hypothesis claims that the means of the groups are equal, and alternative [[Glossary|hypothesis]] rejects that based on p-value. Additionally, it is important to highlight that ANCOVA also gives information on variables by means of Sum of Squares partitioning that shows the size of error or unexplained information in relation. Since ANCOVA historically comes from the combination of Linear regression and ANOVA, one should meet the assumptions inherent from them as well as specific to ANCOVA before proceeding to the ANCOVA test.";ANCOVA compares group means while controlling for covariate influence. It involves hypothesis testing with null and alternative hypotheses and considers Sum of Squares partitioning. Meeting assumptions from linear regression and ANOVA is important before conducting ANCOVA.;What are the key principles and assumptions of ANCOVA?;ANCOVA compares group means while controlling for covariate influence, uses hypothesis testing, and considers Sum of Squares. Assumptions from linear regression and ANOVA should be met, which is normal distribution of the dataset.
