query,ground_truths,result,source_documents
What is the advantage of A/B testing?,"The advantage of A/B testing is its ability to establish causal relationships with a high degree of probability, which can transform decision making from an intuitive process to a scientific, evidence-based process."," A/B testing is a statistical hypothesis test used to compare two different groups, usually in the context of a software or a

Helpful Answer: A/B testing is a statistical hypothesis test used to compare two different groups, usually in the context of a software or a

Helpful Answer: A/B testing is a statistical hypothesis test used to compare two different groups, usually in the context of a software or a

Helpful Answer: A/B testing is a statistical hypothesis test used to compare two different groups, usually in the context of a software or a

Helpful Answer: A/B testing","[Document(page_content=""A t-test is a statistical hypothesis test. People use it when they want to compare a mean (average) of a measurement from one group A to some theoretical, expected value. People also use it when they want to compare the mean (average) of a measurement of two groups A and B. They want to decide if the mean in group A is different to the theoretical value or to the mean in group B.\n\nExample\nFor example, pretend there are two groups of people. One group exercises a lot and the other doesn't. Do the people who exercise tend to live longer than those who don't? Then the property of interest is the average life time. Is the average life time of people who exercise different to the average life time of people who don't? A t-test can help answer this question.\n\nWhen this is used\nThe t-test is used when the property's variance in the groups is unknown. When people want to do the t-test they have to calculate the variance from""), Document(page_content='A test is a way of checking something to see if it is true, or false, or if it is edible or not. If something can be tested, or finishes the tests correctly, it is testable. The Concise Oxford English Dictionary defines a test as: ""a procedure intended to establish the quality, performance, or reliability of something"".\n\nA test is different from an experiment: Before a test is done, there is an expected result. The test is performed, to show this result. In an experiment, the outcome is open. Very often, tests are performed as part of an experiment.\n\nProducts \nProducts are usually tested for quality, so customers will get good products.\n\nIn software engineering, a test is used to see if the software system can do what it should. Software is tested before it is released. Alpha testing is where software developers check the software for bugs. Software can also be checked for quality and usability. Beta testing is done by groups of users.\n\nTests of cars and'), Document(page_content=""be checked for quality and usability. Beta testing is done by groups of users.\n\nTests of cars and other vehicles include a crash test. The car is put under severe conditions to see what will make it fail, or deliberately crashed to measure the damage. Other machines can also be crash tested. Crash test dummies can be used instead of humans. They are placed in the car seat to see if a human in the crash would have been injured or killed.\n\nPeople \n\nPeople are tested to see what they have learned. This is often called an assessment or examination. In learning, a test item is a question, or set of questions.\n\nMany people think tests are valuable. They believe tests:\n are a quick and fair way of judging a test taker's performance\n enable predictions about test takers to be made\n allow selection\n improve performance by highlighting areas that need work.\n\nHowever, academic tests are not perfect measures. Tests could only partly measure a student’s memory and maybe their understanding. The test"")]"
What is the ANOVA powerful for?,ANOVA is powerful for reducing variance in field experiments or to account for variance in repeated measures of experiments., ANOVA (the ANOVA test) is a statistical method used to compare the mean (average) of two or (s) groups. ANOVA is powerful when the data is from a randomized experimental or a randomized-but-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-s-t-test-,"[Document(page_content=""A t-test is a statistical hypothesis test. People use it when they want to compare a mean (average) of a measurement from one group A to some theoretical, expected value. People also use it when they want to compare the mean (average) of a measurement of two groups A and B. They want to decide if the mean in group A is different to the theoretical value or to the mean in group B.\n\nExample\nFor example, pretend there are two groups of people. One group exercises a lot and the other doesn't. Do the people who exercise tend to live longer than those who don't? Then the property of interest is the average life time. Is the average life time of people who exercise different to the average life time of people who don't? A t-test can help answer this question.\n\nWhen this is used\nThe t-test is used when the property's variance in the groups is unknown. When people want to do the t-test they have to calculate the variance from""), Document(page_content='This model probably allows to predict the size in better ways than by just guessing at random. Testing whether a certain drug can be used to cure a certain condition or disease is usually done by comparing the results of people who are given the drug against those who are given a placebo.\n\nMethods \nMost often, we collect statistical data by doing surveys or experiments. For example, an opinion poll is one kind of survey. We pick a small number of people and ask them questions. Then, we use their answers as the data.\n\nThe choice of which individuals to take for a survey or data collection is important, as it directly influences the statistics. When the statistics are done, it can no longer be determined which individuals are taken. Suppose we want to measure the water quality of a big lake. If we take samples next to the waste drain, we will get different results than if the samples are taken in a far-away and hard-to-reach spot of the lake.\n\nThere are two kinds of problems which are'), Document(page_content=""the others prepared by first adding the tea.  She was to select the  four cups prepared by one method.\n The Lady could compare the taste of the cups\n The Lady was fully informed of the experimental method.\n The null hypothesis was that the Lady had no such ability.\n Note that in Fisher's approach, there is no alternative hypothesis; this is instead a feature of the Neyman–Pearson approach.\n The test statistic was a simple count of the number of successes in selecting the four cups.\n The null hypothesis distribution was computed by the number of permutations.  The number of selected permutations and the number of unselected permutations were equal.\n\n The critical region was the single case of four successes of four possible based on a conventional probability criterion (<\xa05%; 1 of 70 ≈\xa01.4%).\n\nIf and only if the Lady properly categorized all eight cups was Fisher willing to reject the null hypothesis – effectively acknowledging the Lady's ability at a 1.4% significance level (but"")]"
What is the difference between frequentist and Bayesian approaches to probability?,"Thomas Bayes introduced a different approach to probability that relied on small or imperfect samples for statistical inference. Frequentist and Bayesian statistics represent opposite ends of the spectrum, with frequentist methods requiring specific conditions like sample size and a normal distribution, while Bayesian methods work with existing data."," Frequentist probability is based on the frequency of an event in the past, or the number of times an event has occurred out of a total number of experiments. Bayesian probability, on the another, is based on the likelihood of an event given the available evidence. Bayesian probability can be use to make probabiilty inferences in the context of in-s-tent information, or in the context of a probability theory. Frequentist probability is often use in statistics and scientific experiments. Bayesian probability is often use in probability theory, and in the context of in-s-tent information, or in","[Document(page_content='Bayesian probability figures out the likelihood that something will happen based on available evidence. This is different from frequency probability which determines the likelihood something will happen based on how often it occurred in the past.\n\nYou might use Bayesian probability if you don\'t have information on how often the event happened in the past.\n\nExample\nAs an example, say you want to classify an email as ""spam"" or ""not spam"".  One thing you know about this email is that it has an emoji in the subject line.  Say it\'s the year 2017, and 80% of the emails you got with emoji in them were spam.  So you can look at an email with emoji in the subject and say it\'s 80% likely to be spam.\n\nBut if only 1% of your emails were spam and 80% of the emojis were spam, that\'s different than if half your emails are spam and 80% of emoji emails were spam.\n\nThen you can use Bayes\'s'), Document(page_content='Frequency probability or Frequentism is one of the interpretations of probability theory. Repeating a scientific experiment very often gives a number of results. It is then possible, to count the number of times that a given event happened and compare it to the total number of experiments.\n\nThis interpretation of probabiilty was very important for statistics. People who use this interpretation are often called Frequentists. Well-known frequentists include  Richard von Mises, Egon Pearson, Jerzy Neyman, R. A. Fisher and John Venn.\n\nOther interpretations of probability are Bayesian probability and Axiomatic probability theory\n\nMathematics'), Document(page_content=""Bayes' theorem is just another way to write that equation.\n\nRelated pages \n\n Bayesian probability\n Bayesian network\n\nReferences \n\nMathematics"")]"
Why is acknowledging serendipity and Murphy's law challenging in the contexts of agency?,Acknowledging serendipity and Murphy's law is challenging in the contexts of agency because lucky or unlucky actions that were not anticipated by the agents are not included in the definition of agency.," In the contexts of agency, acknowledging serendipity and Murphy's law can be challenging because they suggest that some actions and the effects they have may be not be in the agency's (or the individuals)'s actual or intending (or meaning) to do it. In other contexts, serendipity and Murphy's law may be used to make a causal hierarchy, with the good thing coming from the bad action.

Criticism

Some philosophers say that foreseeing a bad effect (knowing it will happen) and intending a bad effect (wanting","[Document(page_content='or those that give a purpose to behaviour  Example: The reason why the artist wanted to make the statue.\n\nAristotle told people of two types of causes: proper (prior) causes and accidental (chance) causes. Both types of causes, can be spoken as potential or as actual, particular or generic. The same language refers to the effects of causes; so that generic effects assigned to generic causes, particular effects to particular causes, and operating causes to actual effects. It is also essential that ontological causality does not suggest the temporal relation of before and after - between the cause and the effect; that spontaneity (in nature) and chance (in the sphere of moral actions) are among the causes of effects belonging to the efficient causation, and that no incidental, spontaneous, or chance cause can be prior to a proper, real, or underlying cause per se.\n\nAll investigations of causality coming later in history will consist in imposing a favorite hierarchy on the order'), Document(page_content='thing happen.  The good thing comes from the bad action.\n\nCriticism\n\nSome philosophers say that foreseeing a bad effect (knowing it will happen) and intending a bad effect (wanting and meaning it to happen) are not different enough for the principle of double effect to be real.  Philosophers have used the trolley problem to study the principle of double effect.\n\nOther pages\n\nTrolley problem\nAbsolutism\nConsequentialism\n\nReferences \n\nPhilosophy'), Document(page_content='is most likely to occur when one is wholeheartedly performing a task or activity for intrinsic purposes. Intrinsic purposes involve anything that someone does merely because they want to. Extrinsic activities will not cause flow to occur. Extrinsic activities are anything that someone does because there is some other force causing them to do it. Extrinsic activities will not cause flow to occur. Passive activities like taking a bath or even watching TV usually do not elicit flow experiences as individuals have to actively do something to enter a flow state. While the activities that induce flow may vary and be multifaceted, Csikszentmihályi asserts that the experience of flow is similar despite the activity.\n\nComponents of flow\nCsíkszentmihályi identifies the following ten factors as accompanying an experience of flow:<ref name=Finding>Csíkszentmihályi, Mihály 1996. Finding flow: the psychology of engagement with everyday life. Basic')]"
What is the recommended course of action for datasets with only categorical data?,"For datasets containing only categorical data, users are advised to conduct a Chi Square Test. This test is used to determine whether there is a statistically significant relationship between two categorical variables in the dataset."," For datasets with only categorical data, data mining methods that are useful are:

- Association rules mining
- Association rules mining is a data mining methods that can find the rules that can be used to predict the categories of a data.

For example, if we know that 

-  A lot of people who buy pasta also buy mushrooms
-  A lot of people who buy mushrooms also buy onion

This kind of information is in the data, and is useful, but was not the reason why the data was saved. This information is new and can be useful. It is a","[Document(page_content='Statistical surveys are collections of information about items in a population. \n\nSurveys can be grouped into numerical and categorical types. A numerical survey is to get numbers as replies. For example:\nHow many minutes, on average, do you spend eating breakfast?\n\nThis survey question is used to generate numbers in minutes. An example of a categorical question is:\n\nWhat is your favorite color?\n\nThe categories for this would be yellow, green, purple, etc... which are not numbers.\n\nSurveys of human populations and institutions are common in political polling and government, health, social science and marketing research. A survey may concentrate on opinions or factual information depending on its purpose.\n\nOther websites \n\nAmerican Association for Public Opinion Research (AAPOR)\nHow to design a web-based statistical survey online. \nAjeebo: Web based survey software tools directory\nConducting Web-Based Surveys\nFree resources for methods in social research  has links to resources for surveys and sampling.\nOnline Survey Best Practice \nShort Courses in'), Document(page_content='(Many people who buy pasta also buy mushrooms for example.) That kind of information is in the data, and is useful, but was not the reason why the data was saved. This information is new and can be useful. It is a second use for the same data. \n\nFinding new information that can also be useful from data, is called data mining.\n\nDifferent kinds of data mining \nFor data, there a lot of different kinds of data mining for getting new information. Usually, prediction is involved. There is uncertainty in the predicted results. The following is based on the observation that there is a small green apple in which we can adjust our data in structural manner. Some of the kinds of data mining are: \n Pattern recognition (Trying to find similarities in the rows in the database, in the form of rules. Small -> green. (Small apples are often green))\n Using a Bayesian network (Trying to make something that can say how the different data attributes are connected/influence each other. The'), Document(page_content='This model probably allows to predict the size in better ways than by just guessing at random. Testing whether a certain drug can be used to cure a certain condition or disease is usually done by comparing the results of people who are given the drug against those who are given a placebo.\n\nMethods \nMost often, we collect statistical data by doing surveys or experiments. For example, an opinion poll is one kind of survey. We pick a small number of people and ask them questions. Then, we use their answers as the data.\n\nThe choice of which individuals to take for a survey or data collection is important, as it directly influences the statistics. When the statistics are done, it can no longer be determined which individuals are taken. Suppose we want to measure the water quality of a big lake. If we take samples next to the waste drain, we will get different results than if the samples are taken in a far-away and hard-to-reach spot of the lake.\n\nThere are two kinds of problems which are')]"
What is a Generalised Linear Model (GLM)?,A Generalised Linear Model (GLM) is a versatile family of models that extends ordinary linear regressions and is used to model relationships between variables.," A Generalised Linear Model (GLM or ""GLM model"" or ""GLM regression model"" or ""GLM analysis"" or ""GLM method"" or ""GLM approach"" or ""GLM method for regression"" or ""GLM regression"" or ""GLM regression analysis"" or ""GLM regression method"" or ""GLM regression model"" or ""GLM statistical model"" or ""GLM statistical analysis"" or ""GLM analysis of data"" or ""GLM method for statistical analysis"" or ""GLM method for statistical inferences"" or ""GLM method for","[Document(page_content='Ordinary least squares or linear least squares is a method for estimating unknown parameters in statistics. It is a method used in linear regression. The goal of the method is to minimize the difference between the observed responses and the responses predicted by the linear approximation of the data. A smaller difference means that model fits the data better. Ordinary least squares is a special case of a method commonly called least squares.  The resulting estimator can be expressed by a simple formula.\n\nStatistics\nMathematical approximation'), Document(page_content='Linear regression is a way to explain the relationship between a dependent variable and one or more explanatory variables using a straight line. It is a special case of regression analysis.\n\nLinear regression was the first type of regression analysis to be studied rigorously. This is because models which depend linearly on their unknown parameters are easier to fit than models which are non-linearly related to their parameters.  Another advantage of linear regression is that the statistical properties of the resulting estimators are easier to determine.\n\nLinear regression has many practical uses. Most applications fall into one of the following two broad categories:\n Linear regression can be used to fit a predictive model to a set of observed values (data). This is useful, if the goal is prediction, forecasting or reduction. After developing such a model, if an additional value of X is then given without its accompanying value of y, the fitted model can be used to make a predicted value of y (written as ).\n Given a variable y and a number of variables X1,'), Document(page_content='in ridge regression. The least squares approach can also be used to fit models that are not linear. As outlined above, the terms ""least squares"" and ""linear model"" are closely linked, but they are not synonyms.\n\nUsage\n\nEconomics\n\nLinear regression is the main analytical tool in economics. For example, it is used to guess consumption spending, fixed investment spending, inventory investment, purchases of a country\'s exports, spending on imports, the demand to hold liquid assets, labor demand and labor supply.\n\nRelated pages \n\n Curve fitting\n Logistic regression\n Ordinary least squares\n\nReferences\n\nStatistics')]"
What is Cluster Analysis?,Cluster Analysis is a approach of grouping data points based on similarity to create a structure. It can be supervised (Classification) or unsupervised (Clustering).," Cluster analysis is a type of data analysis in data mining that groups objects so that objects in the same group (called a cluster) are more similar to each other than to objects in other groups (clusters) in some way. The Dunn Index (DI) is a metric for judging a clustering algorithm, with a higher DI value implies better clustering, and it assumes that better clustering means that clusters are compact and well-separated from other clusters. Cluster analysis can be made of many individual computers that work together to solve a problem, and it is different from computing in a cluster or a","[Document(page_content='Clustering or cluster analysis is a type of data analysis. The analyst groups objects so that objects in the same group (called a cluster) are more similar to each other than to objects in other groups (clusters) in some way. This is a common task in data mining.\n\nStatistics'), Document(page_content='The Dunn Index (DI) is a metric for judging a clustering algorithm. A higher DI implies better clustering. It assumes that better clustering means that clusters are compact and well-separated from other clusters.\n\nThere are many ways to define the size of a cluster and distance between clusters.\n\nThe DI is equal to the minimum inter-cluster distance divided by the maximum cluster size. Note that larger inter-cluster distances (better separation) and smaller cluster sizes (more compact clusters) lead to a higher DI value.\n\nIn mathematical terms:\n\nLet the size of cluster C be denoted by: \n\nLet the distance between clusters i and j be denoted by: \n\nAlgorithms\nStatistics'), Document(page_content='In computing, a cluster is made of many individual computers that work together to solve a problem at hand. Clusters can have different forms: They can be whole computers working together, or only CPUs. These CPUs can communicate over a fast network, but they share the same hard disks, for example. Depending on the problem, solving it with a cluster of cheaper components can be less expensive that investing in better hardware that costs more.\n\nGrid computing is different in that the individual computers work on separate tasks that are part of a large problem. They are usually more different from one another and geographically further apart than cluster computers are.\n\nComputing')]"
What is the purpose of Network Analysis?,Network Analysis is conducted to understand connections and distances between data points by arranging data in a network structure.," Network analysis is a tool used to study relationships and inter- relationships, both internal and external, to an organization or individual. It can be used to build strategy, manage change, and improve interpersonal relationships. It is often used in community organizations for analyzing behaviours and relationships.

The purpose of Network Analysis is to:

- study relationships and inter- relationships, both internal and external, to an organization or individual;
- build strategy;
- manage change;
- improve interpersonal relationships;
- often used in community organizations for analyzing behaviours and relationships.

The purpose of Network Analysis is","[Document(page_content=""SWOT Analysis is a tool to find out the Strengths, Weaknesses, Opportunities, and Threats that are to be expected in a project or in a business venture or in something similar. It means that the situation (internal and external to the organization or individual) is looked at. It is one of the best tools to conduct the internal and external analysis for any company.\n\nInternal and external factors \nInternal factors may include employment, finance, manufacturing opportunities, and all of the marketing mix's 4Ps.\n\nExternal factors include macroeconomics, technological change, legislation, and sociocultural changes, as well as changes in the marketplace.\n\nUse \nSWOT analysis can be used in any decision-making situation. SWOT analysis can be used:\n\n to build organizational or personal strategy;\n for matching and converting;\n allow organizations to achieve their goals;\n as a basis for the analysis of business and environmental factors;\n in marketing — analyzing competitors.\n\nIn community organizations \nThe SWOT analysis has been used in""), Document(page_content='analysis uses operant conditioning to shape and modify problematic behaviours.\n Cognitive behavioural therapy (CBT) relies on behavioural techniques, but adds a cognitive element, focusing on the problematic thoughts behind behaviours.\n Dialectical behavioural therapy (DBT) is a form of CBT that utilizes both behavioural and cognitive techniques to help people learn to manage their emotions, cope with distress, and improve interpersonal relationships.\n Aversion therapy is often used to treat problems such as substance abuse and alcoholism.\n\nReferences \n\nMedicine'), Document(page_content='Analysis is the process of breaking a complex topic or substance into smaller parts to gain a better understanding of it. The technique has been applied in the study of mathematics and logic since before Aristotle (384–322 B.C.), though analysis as a formal concept is a relatively recent development.\n\nThe word comes from the Ancient Greek ἀνάλυσις (analusis, ""a breaking up"", from ana- ""up, throughout"" and lysis ""a loosening"").\n\nIn this context, Analysis is the opposite of synthesis, which is to bring ideas together.\n\nThe following concepts are closely related to this basic idea:\n Mathematical analysis is the name given to any branch of mathematics that looks at what functions are, how they behave, and what things can be done with them.\n Analytical chemistry looks at the qualities of substances, and their composition.\n\nSome definitions \nThe process of breaking up a concept, proposition, or fact into its simple or ultimate constituents. Cambridge Dictionary of Philosophy.')]"
What is ANCOVA?,"ANCOVA (analysis of covariance) is a statistical test that compares the means of two or more groups, while treating the covariance as a noise into account."," ANCOVA, (or ANCOVA-COVA) is a statistics- and statistics-sav-e-d-s-e-t-t-e-d-s-t-e-t-t-e-d-s-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t-e-t-t","[Document(page_content='Vavá (12 November 1934 – 19 January 2002) is a former Brazilian football player. He has played for Brazil national team.\n\nClub career statistics\n\n|-\n|1958/59||rowspan=""3""|Atlético Madrid||rowspan=""3""|La Liga||27||16\n|-\n|1959/60||29||10\n|-\n|1960/61||15||5\n71||31\n71||31\n|}\n\nInternational career statistics\n\n|-\n!Total||22||14\n|}\n\nReferences\n\n1934 births\n2002 deaths\nBrazilian footballers\nPeople from Recife'), Document(page_content='Vega (α Lyr, α Lyrae, Alpha Lyrae) is the brightest star in the constellation Lyra. It is the fifth brightest star in the night sky and the second brightest star in the northern celestial hemisphere, after Arcturus. At only 25 light-years from Earth, it is a relatively close star and one of the most luminous stars in the Sun\'s neighborhood.\n\nVega has been extensively studied by astronomers: this led it to be called ""arguably the next most important star in the sky after the Sun"". \n\nVega was the northern pole star around 12,000 BC and will be so again around the year 13,727. Vega was the first star other than the Sun to be photographed and the first to have its spectrum recorded. It was one of the first stars whose distance was estimated through parallax measurements. Vega has served as the baseline for calibrating the astronomical brightness scale.\n\nVega is only about a tenth of the'), Document(page_content='Doriva (born 28 May 1972) is a former Brazilian football player. He has played for Brazil national team.\n\nClub career statistics\n\n|-\n|1993||rowspan=""2""|São Paulo||rowspan=""2""|Série A||12||0\n|-\n|1994||21||0\n|-\n|1995||XV Novembro||||0||0\n|-\n|1995||rowspan=""3""|Atlético Mineiro||rowspan=""3""|Série A||11||1\n|-\n|1996||24||0\n|-\n|1997||24||0\n\n|-\n|1997-98||rowspan=""2""|Porto||rowspan=""2""|Portuguese Liga||13||1\n|-\n|1998-99||17||4\n\n|-\n|1998-99||rowspan=""2""|Sampdoria||Serie')]"
What are the key principles and assumptions of ANCOVA?,"ANCOVA compares group means while controlling for covariate influence, uses hypothesis testing, and considers Sum of Squares. Assumptions from linear regression and ANOVA should be met, which is normal distribution of the dataset."," ANCOVA, or the ""Article 3 Convention on the rights of persons with disabilities"" is a human rights Convention that emphasized the full human rights and dignity of people with disabilities. The Convention is based on the following values and goals:

- Respect for dignity and autonomy, including the freedom to make one's own choices
- Non-discrimination
- Full acceptance of people with disabilities into society
- Respect and acceptance for people with disabilities as human beings
- Social equality between people with disabilities and people without disabilities
- Fair accessibility
- Social equality","[Document(page_content=""General Principles\n\nArticle 3 says the Convention is based on these values and goals:\n Respect for dignity and autonomy, including the freedom to make one's own choices\n Non-discrimination\n Full acceptance of people with disabilities into society\n Respect and acceptance for people with disabilities as human beings\n Social equality between people with disabilities and people without disabilities\n People with disabilities should have the same chances and opportunities that people without disabilities have\n Fair accessibility\n Social equality between men and women\n Respect and acceptance for children with disabilities\n\nArticle 4.  General Obligation\n\nArticle 4 says that countries must make sure people with disabilities have full human rights by:\n Changing national laws\n Getting rid of laws which discriminate against people with disabilities\n Stopping practices which go against the Convention\n\nArticle 5.  Social Equality\n\nCountries must forbid all discrimination because of disability.  Countries must also protect all persons against discrimination.\n\nArticle 6.  Women\n\nCountries must understand that women and girls with disabilities suffer from double""), Document(page_content='which is owned by everyone) and to make it grow.\n4.  High sense of public duty; intolerance of actions harmful to the public interest.\n Doing what is best for everyone should be very important to you.  You should never do or support anything that is not good for everyone.\n5.  Collectivism and comradely mutual assistance: one for all and all for one.\n People should not just care about themselves.  Everyone should care about everyone else.  Everyone should help each other.  Every person supports society, and society supports every person.\n6.  Humane relations and mutual respect between individuals: man is to man a friend, a comrade, and a brother.\n People should respect each other and be good to each other.  Every man is a friend, comrade, and brother to every other man.\n7.  Honesty and truthfulness, moral purity, unpretentiousness and modesty in social and private life.\n You should always be honest,'), Document(page_content='orientation and gender identity and explains what sexual orientation and gender identity are. The Principles affirm human rights, such as civil, political, economic, social and cultural rights, and demand the prohibition of all discrimination relating to those human rights. Principle 3 demands legal recognition of the sex change of transsexuals without any surgery, including sterilization and sexual reassignment surgery, because the each person\'s self-defined gender identity is seen as important for the autonomy and dignity of the person. But at the same time, the importance of the rights to undergo body modification on sexual reassignment surgery as a ""non-discriminatory treatment"" and other health cares without discrimination is emphasized, and must be provided even in prison. The Principles affirm protection by states against all human trafficking, homelessness and violence, hate crimes, harassment and bullying. They insist that it is important for society to respect the dignity and self-esteem of LGBT people against prejudice and to protect their right to education. The Principles also insist on the prevention of')]"
